,sky_id,fbref_player,short_team,sky_pos,tff_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,MD_37_Pts,MD_38_Pts,MD_39_Pts,MD_40_Pts,MD_41_Pts,MD_42_Pts,Total_Pts
34,1072,Cristian Romero,TOT,DEF,3.5,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,1.9,0.0,0.0,16.5
35,197,Cheikhou Kouyaté,FOR,MID,3.1,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,3.5100000000000002
36,91,Joël Veltman,BHA,DEF,3.2,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,2.59,0.0,0.0,0.0,0.0,20.84
37,1401,Mikkel Damsgaard,BRE,MID,3.7,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,17.39
38,1408,Matheus Nunes,WOL,MID,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,3.04,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,21.470000000000002
39,3377,Jordan Beyer,BUR,DEF,2.2,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,2.31,0.0,0.0,0.0,1.27,0.0,0.0,0.0,12.82
40,1109,Takehiro Tomiyasu,ARS,DEF,3.4,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,1.22,0.0,0.0,0.0,7.829999999999999
41,1201,Rodrigo Bentancur,TOT,MID,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,408,Diogo Dalot,MUN,DEF,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,2.3,0.0,0.0,0.0,13.260000000000002
43,718,Ben Godfrey,EVE,DEF,2.7,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,9.66
44,1253,Boubacar Kamara,AVL,MID,3.1,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,2.44,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,16.63
45,1168,Vitaliy Mykolenko,EVE,DEF,2.9,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,10.17
46,682,Thiago Alcántara,LIV,MID,3.8,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,2.42,0.0,0.0,10.65
47,186,Jeffrey Schlupp,CRY,MID,3.2,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.0,2.61,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,18.68
48,178,Joel Ward,CRY,DEF,2.8,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,2.62,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,19.95
49,994,Ashley Young,EVE,DEF,2.5,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,19.900000000000002
50,3412,Sandro Tonali,NEW,MID,3.7,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,20.85
51,878,Shandon Baptiste,BRE,MID,2.4,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,7.4399999999999995
52,46,Douglas Luiz,AVL,MID,3.5,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,3.45,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,22.46
53,214,Mason Holgate,EVE,DEF,2.7,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,9.67
54,171,Reece James,CHE,DEF,5.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,22.12
